iter	Passed	Remaining
946	5757	322
947	5761	316
948	5767	309
949	5773	303
950	5777	297
951	5783	291
952	5787	285
953	5791	279
954	5797	273
955	5802	267
956	5806	260
957	5812	254
958	5816	248
959	5820	242
960	5824	236
961	5831	230
962	5835	224
963	5839	218
964	5845	212
965	5850	205
966	5854	199
967	5860	193
968	5865	187
969	5869	181
970	5873	175
971	5878	169
972	5882	163
973	5887	157
974	5892	151
975	5897	145
976	5901	138
977	5906	132
978	5912	126
979	5916	120
980	5920	114
981	5926	108
982	5931	102
983	5935	96
984	5942	90
985	5947	84
986	5952	78
987	5958	72
988	5962	66
989	5967	60
990	5972	54
991	5977	48
992	5981	42
993	5987	36
994	5991	30
995	5995	24
996	6000	18
997	6006	12
998	6010	6
999	6014	0
